授業名,備考,適しているか
Linux実習1,使える,〇
Linux実習2,使える,〇
ITトレンド技術,調べ学習、ごみ,×
IoTもの作り実習,使えない,×
Webアプリケーション開発,apacheサーバー提供できそう/XAMPP破壊,〇
Web開発基礎,apacheサーバー提供できそう/XAMPP破壊,〇
セキュリティプログラミング,GCCの実行環境でつかえる,〇
AIシステム開発1,学習元データにNASでアクセスできないか？,△
Office実習,Just Do it,×
UML演習,いらない,×
AIシステム開発2,学習元データにNASでアクセスできないか？,△
IoT実習1,マイコンのエミュ作れないか？,△
アルゴリズムとデータ構造,座学,×
キャリアデザイン1,座学,×
キャリアデザイン2,座学,×
キャリアデザイン3,座学,×
キャリアデザイン4,座学,×
キャリアデザイン5,座学,×
キャリアデザイン6,座学,×
クラウドコンピューティング1,AWS,×
コンピュータ・テクノロジー1,座学,×
コンピュータ・テクノロジー2,座学,×
IoT実習2,マイコンのエミュ作れないか？,△
サーバーサイドプログラミング1,"Java,実機触ってもいい",△
システムリサーチ,座学,×
システム設計,座学,×
サーバーサイドプログラミング2,"Java,実機触ってもいい",△
ストラテジ・マネジメント,座学,×
スポーツ実習1,???,×
テスト技法,IVEC,×
システム開発グループ演習,デプロイ先,△
データベース実習1,SQL提供/日本語の呪いがない,△
ネットワーク実習,ぱけとれ,×
ビジネススキル1,ごみ,×
ビジネススキル2,ごみ,×
プレゼンテーション,ごみ,×
プログラミング実習1,ローカルでいいよね,×
プログラミング実習2,ローカルでいいよね,×
プロジェクトマネジメント,調べ学習,×
データベース実習2,SQL提供/日本語の呪いがない,△
モバイルアプリ開発1,APIサーバーとして選択肢あり,△
ロジカルシンキング,ごみ,×
外国語1,ごみ,×
外国語2,ごみ,×
外国語3,ごみ,×
情報セキュリティ,座学,×
情報系資格対策講座1,勉強しろ,×
情報系資格対策講座2,勉強しろ,×
情報系資格対策講座3,勉強しろ,×
情報系資格対策講座4,勉強しろ,×
情報系資格対策講座5,勉強しろ,×
情報系資格対策講座6,勉強しろ,×
数学・統計,座学,×
校外研修2,"CEATEC,Interop",×
校外研修4,"CEATEC,Interop",×
校外研修6,"CEATEC,Interop",×
モバイルアプリ開発2,APIサーバーとして選択肢あり,△
経営戦略とマーケティング,座学,×
資格対策講座1,勉強しろ,×
Webセキュリティ実習,座学,×
機械学習,学習元データにNASでアクセスできないか？,△
インフラセキュリティ実習1,構築済インスタンスがあってもいい,△
サイバーセキュリティ演習,TryHackMeでいいや,×
シスコ認定技術1,"座学,ぱけとれ",×
シスコ認定技術2,"座学,ぱけとれ",×
シスコ認定技術3,"座学,ぱけとれ",×
セキュリティグループ演習,調べ学習,×
インフラセキュリティ実習2,構築済インスタンスがあってもいい,△
